CHAVE,NOME,AGENCIA,AGENCIA_NOME,CIDADE,DATA_ASSOCIACAO,DATA_VALIDA,RENDA_MENSAL,RENDA_INFORMADA,CONTA_CORRENTE,CARTAO,CREDITO,INVESTIMENTO,CONSORCIO,SEGURO,SALDO_MEDIO,PIX_MENSAL,COMPRAS_CARTAO,QTD_PRODUTOS,TEMPO_RELACIONAMENTO_ANOS,FAIXA_TEMPO,FAIXA_RENDA,INDICE_MOVIMENTACAO,SCORE_PRODUTOS,SCORE_TEMPO,SCORE_MOVIMENTACAO,SCORE_TOTAL,CLASSIFICACAO,OPORT_CROSS_SELL,OPORT_BAIXA_UTILIZACAO
1,Fernanda Sobrenome,1,Agencia 1,Pato Branco,2023-11-03,True,14714.0,True,True,True,True,False,False,False,245843,55,1400,3,2.82,2 a 3 anos,R$ 8.001 a R$ 15.000,64.5,1,1,3,5,Maduro,False,False
2,Carlos Sobrenome,2,Agencia 2,Pato Branco,2020-11-06,True,20161.0,True,True,True,True,False,False,False,3031,43,19923,3,5.81,Mais de 5 anos,Acima de R$ 15.000,36.6,1,3,0,4,Em Desenvolvimento,False,True
3,Bruno Sobrenome,4,Agencia 4,Pato Branco,2018-05-01,True,23834.0,True,False,False,True,False,True,False,10181,95,7251,2,8.33,Mais de 5 anos,Acima de R$ 15.000,34.7,1,3,0,4,Em Desenvolvimento,True,True
4,Juliana Sobrenome,4,Agencia 4,Pato Branco,2020-07-09,True,24436.0,True,False,True,True,False,True,False,151001,53,19505,3,6.14,Mais de 5 anos,Acima de R$ 15.000,68.5,1,3,3,7,Engajado,False,False
5,Amanda Sobrenome,5,Agencia 5,Cascavel,2024-09-24,True,15961.0,True,True,True,False,False,False,True,159737,50,6637,3,1.93,Menos de 2 anos,Acima de R$ 15.000,53.4,1,0,2,3,Em Desenvolvimento,False,False
6,Bruno Sobrenome,5,Agencia 5,Pato Branco,2020-12-28,True,2614.0,True,False,True,True,True,True,False,130176,86,6906,4,5.67,Mais de 5 anos,Ate R$ 3.000,55.9,2,3,2,7,Engajado,False,False
7,Bruno Sobrenome,2,Agencia 2,Toledo,2025-06-03,True,11624.0,True,True,False,True,True,True,True,218415,63,17819,5,1.24,Menos de 2 anos,R$ 8.001 a R$ 15.000,82.0,2,0,3,5,Maduro,False,False
8,Ricardo Sobrenome,2,Agencia 2,Cascavel,2024-01-26,True,11326.0,True,True,True,False,False,True,False,111386,88,12573,3,2.59,2 a 3 anos,R$ 8.001 a R$ 15.000,59.6,1,1,2,4,Em Desenvolvimento,False,False
9,Paula Sobrenome,5,Agencia 5,Cascavel,2021-08-12,True,4988.0,True,False,True,True,False,True,True,245085,28,18694,4,5.05,Mais de 5 anos,R$ 3.001 a R$ 8.000,79.2,2,3,3,8,Engajado,False,False
10,Carlos Sobrenome,2,Agencia 2,Cascavel,2021-06-09,True,9067.0,True,True,True,False,False,True,True,222716,46,12259,4,5.22,Mais de 5 anos,R$ 8.001 a R$ 15.000,71.9,2,3,3,8,Engajado,False,False
11,Carlos Sobrenome,4,Agencia 4,Pato Branco,2021-04-16,True,9865.0,True,True,True,False,False,True,False,239146,19,4898,3,5.37,Mais de 5 anos,R$ 8.001 a R$ 15.000,58.3,1,3,2,6,Maduro,False,False
12,Lucas Sobrenome,3,Agencia 3,Pato Branco,2020-04-13,True,17048.0,True,True,False,False,False,True,True,215964,8,11597,3,6.38,Mais de 5 anos,Acima de R$ 15.000,60.2,1,3,2,6,Maduro,False,False
13,Ricardo Sobrenome,4,Agencia 4,Cascavel,2020-09-02,True,14157.0,True,False,False,True,False,False,True,91176,98,18070,2,5.99,Mais de 5 anos,R$ 8.001 a R$ 15.000,65.5,1,3,3,7,Engajado,False,False
14,Carlos Sobrenome,4,Agencia 4,Cascavel,2020-05-12,True,25585.0,True,True,False,True,True,True,False,74978,51,8660,4,6.3,Mais de 5 anos,Acima de R$ 15.000,39.2,2,3,1,6,Maduro,False,False
15,Paula Sobrenome,5,Agencia 5,Cascavel,2025-08-04,True,14824.0,True,True,False,False,True,False,False,33590,66,8981,2,1.07,Menos de 2 anos,R$ 8.001 a R$ 15.000,35.3,1,0,0,1,Inicial,False,True
16,Amanda Sobrenome,3,Agencia 3,Toledo,2021-02-10,True,9819.0,True,False,True,False,True,False,False,193146,67,14734,2,5.55,Mais de 5 anos,R$ 8.001 a R$ 15.000,74.6,1,3,3,7,Engajado,False,False
17,Mariana Sobrenome,1,Agencia 1,Cascavel,2020-05-11,True,2401.0,True,True,True,True,True,True,True,240839,7,18530,6,6.3,Mais de 5 anos,Ate R$ 3.000,72.9,3,3,3,9,Engajado,False,False
18,Paula Sobrenome,3,Agencia 3,Pato Branco,2023-01-21,True,27183.0,True,False,True,True,True,True,False,100155,53,11105,4,3.61,3 a 5 anos,Acima de R$ 15.000,47.6,2,2,1,5,Maduro,False,False
19,Bruno Sobrenome,3,Agencia 3,Cascavel,2021-10-06,True,28911.0,True,False,True,True,True,False,True,183226,36,8390,4,4.9,3 a 5 anos,Acima de R$ 15.000,57.0,2,2,2,6,Maduro,False,False
20,Ricardo Sobrenome,2,Agencia 2,Pato Branco,2021-04-20,True,20429.0,True,False,False,False,False,True,False,184107,18,15099,1,5.36,Mais de 5 anos,Acima de R$ 15.000,60.8,0,3,2,5,Maduro,True,False
21,Juliana Sobrenome,5,Agencia 5,Toledo,2019-04-07,True,16833.0,True,True,False,True,False,True,True,82870,72,4000,4,7.4,Mais de 5 anos,Acima de R$ 15.000,39.7,2,3,1,6,Maduro,False,False
22,Joao Sobrenome,4,Agencia 4,Chapeco,2019-10-17,True,14369.0,True,True,False,False,False,False,True,221624,17,13929,2,6.87,Mais de 5 anos,R$ 8.001 a R$ 15.000,65.9,1,3,3,7,Engajado,False,False
23,Paula Sobrenome,2,Agencia 2,Maringa,2021-01-06,True,27188.0,True,False,True,False,True,True,False,152163,93,15289,3,5.65,Mais de 5 anos,Acima de R$ 15.000,72.8,1,3,3,7,Engajado,False,False
24,Juliana Sobrenome,3,Agencia 3,Cascavel,2020-09-13,True,15045.0,True,True,True,True,False,False,True,111646,17,6672,4,5.96,Mais de 5 anos,Acima de R$ 15.000,34.6,2,3,0,5,Maduro,False,True
25,Ricardo Sobrenome,4,Agencia 4,Chapeco,2023-07-25,True,18252.0,True,True,False,True,False,True,False,200562,98,5144,3,3.1,3 a 5 anos,Acima de R$ 15.000,71.6,1,2,3,6,Maduro,False,False
26,Mariana Sobrenome,1,Agencia 1,Pato Branco,2021-01-02,True,3486.0,True,True,False,True,True,True,False,188018,25,11861,4,5.66,Mais de 5 anos,R$ 3.001 a R$ 8.000,59.1,2,3,2,7,Engajado,False,False
27,Amanda Sobrenome,3,Agencia 3,Pato Branco,2022-06-21,True,9835.0,True,False,True,False,True,False,False,153811,50,14169,2,4.19,3 a 5 anos,R$ 8.001 a R$ 15.000,61.8,1,2,2,5,Maduro,False,False
28,Paula Sobrenome,2,Agencia 2,Toledo,2023-09-18,True,22675.0,True,False,True,False,True,True,True,35725,65,7776,4,2.95,2 a 3 anos,Acima de R$ 15.000,34.1,2,1,0,3,Em Desenvolvimento,False,True
29,Amanda Sobrenome,4,Agencia 4,Pato Branco,2025-09-17,True,5544.0,True,True,False,False,True,True,False,136606,96,3629,3,0.95,Menos de 2 anos,R$ 3.001 a R$ 8.000,55.6,1,0,2,3,Em Desenvolvimento,False,False
30,Ricardo Sobrenome,3,Agencia 3,Pato Branco,2025-03-15,True,5239.0,True,True,False,True,True,False,False,170560,51,9683,3,1.46,Menos de 2 anos,R$ 3.001 a R$ 8.000,59.7,1,0,2,3,Em Desenvolvimento,False,False
31,Juliana Sobrenome,5,Agencia 5,Maringa,2023-02-17,True,23460.0,True,True,True,True,True,False,False,188196,44,12190,4,3.53,3 a 5 anos,Acima de R$ 15.000,64.7,2,2,3,7,Engajado,False,False
32,Paula Sobrenome,1,Agencia 1,Maringa,2021-06-27,True,11208.0,True,True,False,True,False,True,True,67008,98,1268,4,5.17,Mais de 5 anos,R$ 8.001 a R$ 15.000,39.4,2,3,1,6,Maduro,False,False
33,Bruno Sobrenome,4,Agencia 4,Maringa,2025-05-19,True,16786.0,True,False,True,False,False,True,True,120822,8,11673,3,1.28,Menos de 2 anos,Acima de R$ 15.000,41.2,1,0,1,2,Inicial,False,False
34,Carlos Sobrenome,3,Agencia 3,Pato Branco,2023-03-21,True,12267.0,True,True,True,True,False,False,False,87232,26,9462,3,3.44,3 a 5 anos,R$ 8.001 a R$ 15.000,36.3,1,2,0,3,Em Desenvolvimento,False,True
35,Mariana Sobrenome,5,Agencia 5,Pato Branco,2026-06-11,True,13933.0,True,False,False,True,True,False,True,34042,12,18944,3,0.22,Menos de 2 anos,R$ 8.001 a R$ 15.000,34.1,1,0,0,1,Inicial,False,True
36,Juliana Sobrenome,3,Agencia 3,Pato Branco,2025-05-27,True,2468.0,True,True,False,False,True,True,False,201959,30,12313,3,1.26,Menos de 2 anos,Ate R$ 3.000,64.3,1,0,3,4,Em Desenvolvimento,False,False
37,Lucas Sobrenome,4,Agencia 4,Pato Branco,2021-07-03,True,14290.0,True,False,False,True,False,False,True,228626,26,9026,2,5.16,Mais de 5 anos,R$ 8.001 a R$ 15.000,63.4,1,3,3,7,Engajado,False,False
38,Amanda Sobrenome,5,Agencia 5,Toledo,2026-06-13,True,9789.0,True,True,True,True,False,True,False,102130,17,9706,4,0.21,Menos de 2 anos,R$ 8.001 a R$ 15.000,36.9,2,0,0,2,Inicial,False,True
39,Ricardo Sobrenome,2,Agencia 2,Maringa,2020-08-15,True,7790.0,True,True,False,True,False,False,False,105077,31,18489,2,6.04,Mais de 5 anos,R$ 3.001 a R$ 8.000,51.6,1,3,2,6,Maduro,False,False
40,Joao Sobrenome,2,Agencia 2,Pato Branco,2025-10-16,True,15920.0,True,False,False,False,True,True,False,45228,32,2925,2,0.87,Menos de 2 anos,Acima de R$ 15.000,21.4,1,0,0,1,Inicial,True,True
41,Carlos Sobrenome,5,Agencia 5,Chapeco,2021-08-08,True,10889.0,True,True,True,False,True,False,True,161854,57,16860,4,5.06,Mais de 5 anos,R$ 8.001 a R$ 15.000,68.1,2,3,3,8,Engajado,False,False
42,Amanda Sobrenome,4,Agencia 4,Chapeco,2018-03-09,True,12874.0,True,False,True,False,False,False,False,15463,11,1137,1,8.48,Mais de 5 anos,R$ 8.001 a R$ 15.000,7.1,0,3,0,3,Em Desenvolvimento,False,True
43,Ricardo Sobrenome,3,Agencia 3,Toledo,2019-10-02,True,12965.0,True,True,True,True,True,True,True,170524,76,19148,6,6.91,Mais de 5 anos,R$ 8.001 a R$ 15.000,76.9,3,3,3,9,Engajado,False,False
44,Carlos Sobrenome,3,Agencia 3,Pato Branco,2025-05-23,True,26582.0,True,False,False,True,False,True,True,172760,18,11978,3,1.27,Menos de 2 anos,Acima de R$ 15.000,53.9,1,0,2,3,Em Desenvolvimento,False,False
45,Mariana Sobrenome,5,Agencia 5,Toledo,2026-04-06,True,8743.0,True,True,True,True,False,False,True,200564,48,6088,4,0.4,Menos de 2 anos,R$ 8.001 a R$ 15.000,60.7,2,0,2,4,Em Desenvolvimento,False,False
46,Carlos Sobrenome,1,Agencia 1,Toledo,2026-08-10,True,17810.0,True,False,False,False,True,False,False,10278,98,11062,1,0.05,Menos de 2 anos,Acima de R$ 15.000,40.8,0,0,1,1,Inicial,True,False
47,Paula Sobrenome,2,Agencia 2,Pato Branco,2026-01-01,True,2876.0,True,False,False,True,False,False,False,162945,26,9609,1,0.66,Menos de 2 anos,Ate R$ 3.000,51.3,0,0,2,2,Inicial,False,False
48,Carlos Sobrenome,1,Agencia 1,Pato Branco,2020-02-14,True,8110.0,True,True,False,False,False,True,False,170260,91,10681,2,6.54,Mais de 5 anos,R$ 8.001 a R$ 15.000,70.1,1,3,3,7,Engajado,False,False
49,Paula Sobrenome,1,Agencia 1,Maringa,2024-12-24,True,4470.0,True,False,True,True,False,False,True,21661,43,19288,3,1.68,Menos de 2 anos,R$ 3.001 a R$ 8.000,40.6,1,0,1,2,Inicial,False,False
